,S&P GSCI
1994-01-04,-2.4226800294211426
1994-01-05,-2.2324859082911375
1994-01-06,-2.2340989565565184
1994-01-07,-2.211761630302367
1994-01-10,-2.2867905531776644
1994-01-11,-2.148502082223258
1994-01-12,-2.253609826000069
1994-01-13,-2.2084515922043857
1994-01-14,-2.082222132205147
1994-01-17,-2.049785635030643
1994-01-18,-2.1768649656263572
1994-01-19,-2.2236946265045465
1994-01-20,-2.2670843216724967
1994-01-21,-2.2007710088332355
1994-01-24,-2.0140335802511733
1994-01-25,-1.961981098422061
1994-01-26,-1.871852714886979
1994-01-27,-1.8385564881819971
1994-01-28,-1.7900226246473472
1994-01-31,-1.9076285197701326
1994-02-01,-1.6404618787702274
1994-02-02,-1.5004751976363417
1994-02-03,-1.8325874632315275
1994-02-04,-1.811034938125522
1994-02-07,-1.86652288270176
1994-02-08,-1.7805242917976805
1994-02-09,-1.875389617905454
1994-02-10,-1.8875671719575493
1994-02-11,-1.7318127055818033
1994-02-14,-1.758611071715599
1994-02-15,-1.6549746566560053
1994-02-16,-1.6206028258829663
1994-02-17,-1.6720104704602168
1994-02-18,-1.6648210447183787
1994-02-22,-1.6476387266886938
1994-02-23,-1.6881405879245914
1994-02-24,-1.6291763056666686
1994-02-25,-1.6352290687676074
1994-02-28,-1.8025850271597754
1994-03-01,-1.9212488667805672
1994-03-02,-1.8613418316274055
1994-03-03,-1.9564400077917488
1994-03-04,-1.9657292925515768
1994-03-07,-2.16121338858537
1994-03-08,-2.227326330135293
1994-03-09,-2.2445935368289427
1994-03-10,-2.2064917914071502
1994-03-11,-2.2115569685713266
1994-03-14,-2.291237388202494
1994-03-15,-2.163571363384864
1994-03-16,-2.0900857965126973
1994-03-17,-2.1125031121205784
1994-03-18,-2.1307355436216757
1994-03-21,-2.0449896994017225
1994-03-22,-2.068298370206856
1994-03-23,-2.068005742684431
1994-03-24,-2.1244073305800915
1994-03-25,-2.2020588298102717
1994-03-28,-2.500104437782036
1994-03-29,-2.5125337547446613
1994-03-30,-2.4875565072636885
1994-03-31,-2.360688890281626
1994-04-04,-2.164234797665421
1994-04-05,-2.2554626783993226
1994-04-06,-2.253593856791658
1994-04-07,-2.362111753065943
1994-04-08,-2.4148549020778454
1994-04-11,-2.284759859478558
1994-04-12,-2.2622751993380708
1994-04-13,-2.2182750962738917
1994-04-14,-2.130867288208649
1994-04-15,-2.0155795916761865
1994-04-18,-1.9185445327849715
1994-04-19,-2.069487748030596
1994-04-20,-2.0603154525956624
1994-04-21,-1.989158300553906
1994-04-22,-1.9221779702391695
1994-04-25,-1.9144656255594472
1994-04-26,-2.1102430303250985
1994-04-28,-2.1410824725683897
1994-04-29,-1.954439127390617
1994-05-02,-1.9214425732362095
1994-05-03,-1.9825818358843894
1994-05-04,-1.9683753321422914
1994-05-05,-1.9579188453155427
1994-05-06,-1.9855814199386979
1994-05-09,-1.9558383366456877
1994-05-10,-2.0385530074132574
1994-05-11,-1.971036576705243
1994-05-12,-1.9363440890926231
1994-05-13,-1.9753481754467783
1994-05-16,-1.9801475406073021
1994-05-17,-1.9913506278968485
1994-05-18,-1.9666483112347422
1994-05-19,-1.8715170838369155
1994-05-20,-1.9753513249685328
1994-05-23,-1.953504122057459
1994-05-24,-2.1880204731380304
1994-05-25,-2.3397693959150256
1994-05-26,-2.3054843881318288
1994-05-27,-2.193097146782097
1994-05-31,-2.036021633984453
1994-06-01,-2.0874946717064247
1994-06-02,-1.9727425390848596
1994-06-03,-2.059960636159386
1994-06-06,-2.0483137362220294
1994-06-07,-2.08284650264019
1994-06-08,-1.938374725410441
1994-06-09,-1.9189326596377954
1994-06-10,-1.8395441530731693
1994-06-13,-1.7005455032971906
1994-06-14,-1.6457622430273267
1994-06-15,-1.3648032372525098
1994-06-16,-1.3693816141967408
1994-06-17,-1.2578730799444382
1994-06-20,-1.3460203608322785
1994-06-21,-1.4445468909610293
1994-06-22,-1.5592967831722815
1994-06-23,-1.6086159146965318
1994-06-24,-1.5646291253673117
1994-06-27,-1.5965133164731693
1994-06-28,-1.3815394817459414
1994-06-29,-1.5074903425455366
1994-06-30,-1.3208885385821434
1994-07-01,-1.295030254141949
1994-07-05,-1.4647663364752206
1994-07-06,-1.6304339867711182
1994-07-07,-1.5728220358678602
1994-07-08,-1.4510094040173338
1994-07-11,-1.1968401978612153
1994-07-12,-1.1433035155577587
1994-07-13,-1.1538171959863508
1994-07-14,-1.097544290418484
1994-07-15,-1.062742590243826
1994-07-18,-1.1087878611086732
1994-07-19,-1.0712418498132315
1994-07-20,-1.125882610700668
1994-07-21,-1.083235433320573
1994-07-22,-1.020296938016807
1994-07-25,-1.0523903870842566
1994-07-26,-1.0155056258145834
1994-07-27,-0.8944131927926313
1994-07-28,-0.7507966793914744
1994-07-29,-0.5407617226874217
1994-08-01,-0.39978432351430726
1994-08-02,-0.45584025086976565
1994-08-03,-0.5441970574062482
1994-08-04,-0.5364645074365182
1994-08-05,-0.8626190373293152
1994-08-08,-1.0193972250431171
1994-08-09,-1.0300651846620434
1994-08-10,-1.0486312010778875
1994-08-11,-1.1038260245880505
1994-08-12,-1.2107203422299984
1994-08-15,-1.302440524260562
1994-08-16,-1.3092378424897633
1994-08-17,-1.185606596060218
1994-08-18,-1.348276856333297
1994-08-19,-1.4398895267467293
1994-08-22,-1.6741515528610251
1994-08-23,-1.590748031839595
1994-08-24,-1.4157995364496578
1994-08-25,-1.515737578016152
1994-08-26,-1.6303300500359108
1994-08-29,-1.4893471329931685
1994-08-30,-1.5933157976124268
1994-08-31,-1.6068521814078585
1994-09-01,-1.5909184800117826
1994-09-02,-1.5657895447984238
1994-09-06,-1.4686747400059152
1994-09-07,-1.4365571285170797
1994-09-08,-1.3819724840024916
1994-09-09,-1.351452930447028
1994-09-12,-1.3540129435591908
1994-09-13,-1.379704157357109
1994-09-14,-1.5530141567043576
1994-09-15,-1.666262774434757
1994-09-16,-1.6474687908661911
1994-09-19,-1.5645279103036702
1994-09-20,-1.566551394759541
1994-09-21,-1.5679269656168837
1994-09-22,-1.5215685316814165
1994-09-23,-1.5714810396190826
1994-09-26,-1.6352104687641367
1994-09-27,-1.6869109041710573
1994-09-28,-1.6539346862398996
1994-09-29,-1.5985311901289045
1994-09-30,-1.5291939026731205
1994-10-03,-1.534286325207268
1994-10-04,-1.5278735087538298
1994-10-05,-1.606235089392738
1994-10-06,-1.5623223271551634
1994-10-07,-1.4901882868183725
1994-10-10,-1.479726669118142
1994-10-11,-1.3679159089039938
1994-10-12,-1.3834926984229612
1994-10-13,-1.3544123287347443
1994-10-14,-1.3735756940916777
1994-10-17,-1.3504228007988783
1994-10-18,-1.3440664531816915
1994-10-19,-1.2812193104011826
