	S&P GSCI	MSCI Emerging Markets	GOLD	MSCI World
0	0.1	0.1	0.1	0.7
1	0.1	0.1	0.2	0.6
2	0.1	0.1	0.3	0.5
3	0.1	0.1	0.4	0.4
4	0.1	0.1	0.5	0.3
5	0.1	0.1	0.6	0.2
6	0.1	0.1	0.7	0.1
7	0.1	0.2	0.1	0.6
8	0.1	0.2	0.2	0.5
9	0.1	0.2	0.3	0.4
10	0.1	0.2	0.4	0.3
11	0.1	0.2	0.5	0.2
12	0.1	0.2	0.6	0.1
13	0.1	0.3	0.1	0.5
14	0.1	0.3	0.2	0.4
15	0.1	0.3	0.3	0.3
16	0.1	0.3	0.4	0.2
17	0.1	0.3	0.5	0.1
18	0.1	0.4	0.1	0.4
19	0.1	0.4	0.2	0.3
20	0.1	0.4	0.3	0.2
21	0.1	0.4	0.4	0.1
22	0.1	0.5	0.1	0.3
23	0.1	0.5	0.2	0.2
24	0.1	0.5	0.3	0.1
25	0.1	0.6	0.1	0.2
26	0.1	0.6	0.2	0.1
27	0.1	0.7	0.1	0.1
28	0.2	0.1	0.1	0.6
29	0.2	0.1	0.2	0.5
30	0.2	0.1	0.3	0.4
31	0.2	0.1	0.4	0.3
32	0.2	0.1	0.5	0.2
33	0.2	0.1	0.6	0.1
34	0.2	0.2	0.1	0.5
35	0.2	0.2	0.2	0.4
36	0.2	0.2	0.3	0.3
37	0.2	0.2	0.4	0.2
38	0.2	0.2	0.5	0.1
39	0.2	0.3	0.1	0.4
40	0.2	0.3	0.2	0.3
41	0.2	0.3	0.3	0.2
42	0.2	0.3	0.4	0.1
43	0.2	0.4	0.1	0.3
44	0.2	0.4	0.2	0.2
45	0.2	0.4	0.3	0.1
46	0.2	0.5	0.1	0.2
47	0.2	0.5	0.2	0.1
48	0.2	0.6	0.1	0.1
49	0.3	0.1	0.1	0.5
50	0.3	0.1	0.2	0.4
51	0.3	0.1	0.3	0.3
52	0.3	0.1	0.4	0.2
53	0.3	0.1	0.5	0.1
54	0.3	0.2	0.1	0.4
55	0.3	0.2	0.2	0.3
56	0.3	0.2	0.3	0.2
57	0.3	0.2	0.4	0.1
58	0.3	0.3	0.1	0.3
59	0.3	0.3	0.2	0.2
60	0.3	0.3	0.3	0.1
61	0.3	0.4	0.1	0.2
62	0.3	0.4	0.2	0.1
63	0.3	0.5	0.1	0.1
64	0.4	0.1	0.1	0.4
65	0.4	0.1	0.2	0.3
66	0.4	0.1	0.3	0.2
67	0.4	0.1	0.4	0.1
68	0.4	0.2	0.1	0.3
69	0.4	0.2	0.2	0.2
70	0.4	0.2	0.3	0.1
71	0.4	0.3	0.1	0.2
72	0.4	0.3	0.2	0.1
73	0.4	0.4	0.1	0.1
74	0.5	0.1	0.1	0.3
75	0.5	0.1	0.2	0.2
76	0.5	0.1	0.3	0.1
77	0.5	0.2	0.1	0.2
78	0.5	0.2	0.2	0.1
79	0.5	0.3	0.1	0.1
80	0.6	0.1	0.1	0.2
81	0.6	0.1	0.2	0.1
82	0.6	0.2	0.1	0.1
83	0.7	0.1	0.1	0.1
