Date,S&P GSCI,GOLD,EUR-USD,MSCI World
1968-03-22,,40.0,,
1968-03-25,,40.25,,
1968-03-26,,41.1,,
1968-03-27,,40.35,,
1968-03-28,,39.6,,
1968-03-29,,39.45,,
1968-04-01,,38.6,,
1968-04-03,,38.45,,
1968-04-04,,38.05,,
1968-04-05,,38.65,,
1968-04-08,,38.15,,
1968-04-09,,38.6,,
1968-04-10,,38.65,,
1968-04-11,,39.1,,
1968-04-18,,38.55,,
1968-04-19,,38.6,,
1968-04-22,,38.95,,
1968-04-23,,39.4,,
1968-04-24,,39.3,,
1968-04-25,,39.35,,
1968-04-26,,39.5,,
1968-04-29,,39.65,,
1968-04-30,,40.05,,
1968-05-01,,40.15,,
1968-05-02,,40.4,,
1968-05-03,,39.9,,
1968-05-06,,40.6,,
1968-05-07,,40.25,,
1968-05-08,,40.45,,
1968-05-09,,40.55,,
1968-05-10,,40.45,,
1968-05-14,,40.75,,
1968-05-15,,41.3,,
1968-05-16,,42.2,,
1968-05-17,,42.45,,
1968-05-20,,43.25,,
1968-05-22,,42.5,,
1968-05-23,,42.35,,
1968-05-24,,42.7,,
1968-05-27,,42.35,,
1968-05-29,,42.4,,
1968-05-31,,42.8,,
1968-06-04,,42.0,,
1968-06-05,,42.05,,
1968-06-06,,41.35,,
1968-06-10,,41.4,,
1968-06-11,,42.5,,
1968-06-12,,42.25,,
1968-06-13,,41.65,,
1968-06-14,,41.25,,
1968-06-17,,41.05,,
1968-06-18,,41.3,,
1968-06-19,,41.65,,
1968-06-20,,41.3,,
1968-06-21,,41.2,,
1968-06-24,,41.05,,
1968-06-25,,41.0,,
1968-06-27,,41.05,,
1968-07-01,,40.95,,
1968-07-02,,41.05,,
1968-07-03,,41.15,,
1968-07-08,,41.0,,
1968-07-09,,40.0,,
1968-07-10,,40.2,,
1968-07-11,,39.25,,
1968-07-12,,39.35,,
1968-07-15,,39.25,,
1968-07-16,,38.65,,
1968-07-17,,37.9,,
1968-07-18,,38.4,,
1968-07-19,,38.0,,
1968-07-22,,38.7,,
1968-07-23,,39.05,,
1968-07-24,,39.25,,
1968-07-25,,39.05,,
1968-07-29,,39.15,,
1968-07-30,,39.1,,
1968-07-31,,38.9,,
1968-08-05,,39.0,,
1968-08-06,,38.8,,
1968-08-07,,38.75,,
1968-08-08,,38.55,,
1968-08-09,,38.65,,
1968-08-13,,38.9,,
1968-08-14,,39.05,,
1968-08-15,,39.25,,
1968-08-19,,39.3,,
1968-08-20,,39.65,,
1968-08-21,,40.05,,
1968-08-22,,39.9,,
1968-08-23,,39.6,,
1968-08-27,,39.75,,
1968-08-28,,39.7,,
1968-08-29,,39.95,,
1968-08-30,,39.9,,
1968-09-03,,40.0,,
1968-09-04,,39.85,,
1968-09-05,,40.15,,
1968-09-06,,40.0,,
1968-09-09,,40.25,,
1968-09-10,,40.15,,
1968-09-11,,40.2,,
1968-09-13,,40.25,,
1968-09-16,,40.35,,
1968-09-18,,40.55,,
1968-09-19,,40.5,,
1968-09-27,,40.2,,
1968-09-30,,39.6,,
1968-10-01,,39.55,,
1968-10-02,,39.0,,
1968-10-03,,39.25,,
1968-10-04,,39.15,,
1968-10-07,,39.85,,
1968-10-08,,39.65,,
1968-10-09,,39.0,,
1968-10-10,,39.05,,
1968-10-11,,39.3,,
1968-10-14,,39.35,,
1968-10-15,,39.15,,
1968-10-16,,39.0,,
1968-10-17,,39.25,,
1968-10-21,,39.15,,
1968-10-22,,39.2,,
1968-10-24,,39.3,,
1968-10-25,,39.35,,
1968-10-28,,39.6,,
1968-10-30,,39.35,,
1968-10-31,,39.15,,
1968-11-01,,39.25,,
1968-11-04,,39.35,,
1968-11-06,,39.65,,
1968-11-07,,39.4,,
1968-11-08,,39.55,,
1968-11-11,,39.65,,
1968-11-12,,39.85,,
1968-11-13,,39.9,,
1968-11-14,,40.05,,
1968-11-15,,40.2,,
1968-11-18,,40.15,,
1968-11-20,,40.6,,
1968-11-21,,40.4,,
1968-11-22,,40.15,,
1968-11-25,,40.25,,
1968-11-26,,39.85,,
1968-11-27,,40.05,,
1968-12-02,,40.3,,
1968-12-03,,40.35,,
1968-12-04,,40.55,,
1968-12-05,,40.45,,
1968-12-06,,40.6,,
1968-12-09,,40.75,,
1968-12-11,,41.05,,
1968-12-13,,41.15,,
1968-12-17,,41.35,,
1968-12-18,,42.15,,
1968-12-19,,41.9,,
1968-12-23,,41.8,,
1968-12-27,,41.9,,
1968-12-30,,42.05,,
1969-01-02,,42.35,,
1969-01-03,,42.55,,
1969-01-08,,42.9,,
1969-01-10,,42.7,,
1969-01-13,,42.55,,
1969-01-14,,42.95,,
1969-01-15,,43.15,,
1969-01-16,,42.8,,
1969-01-17,,42.65,,
1969-01-21,,42.95,,
1969-01-22,,43.0,,
1969-01-23,,42.5,,
1969-01-24,,42.55,,
1969-01-27,,42.65,,
1969-01-28,,42.85,,
1969-01-29,,42.95,,
1969-01-30,,43.0,,
1969-02-03,,42.5,,
1969-02-04,,42.65,,
1969-02-05,,42.85,,
1969-02-06,,42.7,,
1969-02-07,,42.65,,
1969-02-11,,42.67,,
1969-02-12,,42.65,,
1969-02-13,,42.7,,
1969-02-17,,42.9,,
1969-02-18,,42.85,,
1969-02-25,,42.95,,
1969-02-27,,43.0,,
1969-02-28,,42.95,,
1969-03-04,,43.0,,
1969-03-05,,43.25,,
1969-03-06,,43.5,,
1969-03-07,,43.8,,
1969-03-10,,44.05,,
1969-03-11,,43.2,,
1969-03-12,,43.15,,
1969-03-13,,43.35,,
1969-03-14,,43.25,,
1969-03-17,,43.3,,
1969-03-18,,43.25,,
1969-03-19,,43.3,,
1969-03-20,,43.45,,
1969-03-24,,43.6,,
1969-03-26,,43.63,,
1969-03-27,,43.7,,
1969-03-28,,43.5,,
1969-03-31,,43.15,,
1969-04-01,,43.35,,
1969-04-02,,43.45,,
1969-04-03,,43.6,,
1969-04-04,,43.7,,
1969-04-07,,43.6,,
1969-04-08,,43.65,,
1969-04-09,,43.6,,
1969-04-10,,43.65,,
1969-04-11,,43.6,,
1969-04-14,,43.4,,
1969-04-15,,43.25,,
1969-04-16,,43.45,,
1969-04-21,,43.4,,
1969-04-22,,43.5,,
1969-04-23,,43.6,,
1969-04-25,,43.5,,
1969-04-28,,43.85,,
1969-04-29,,43.75,,
1969-04-30,,43.8,,
1969-05-01,,43.85,,
1969-05-05,,43.75,,
1969-05-06,,43.6,,
1969-05-07,,43.8,,
1969-05-08,,43.85,,
1969-05-09,,43.75,,
1969-05-12,,43.7,,
1969-05-16,,43.75,,
1969-05-19,,43.7,,
1969-05-21,,43.65,,
1969-05-23,,43.75,,
1969-05-27,,43.7,,
1969-05-28,,43.6,,
1969-05-29,,43.45,,
1969-06-02,,42.95,,
1969-06-03,,42.55,,
1969-06-04,,42.3,,
1969-06-05,,41.8,,
1969-06-06,,40.9,,
1969-06-09,,41.5,,
1969-06-10,,42.55,,
1969-06-11,,41.6,,
1969-06-12,,41.75,,
1969-06-13,,41.85,,
1969-06-16,,41.05,,
1969-06-17,,41.7,,
1969-06-18,,41.6,,
1969-06-19,,41.65,,
1969-06-20,,41.5,,
1969-06-24,,41.2,,
1969-06-25,,41.15,,
1969-06-26,,41.25,,
1969-06-27,,41.35,,
1969-06-30,,41.45,,
1969-07-01,,41.4,,
1969-07-02,,41.45,,
1969-07-03,,41.8,,
1969-07-07,,42.05,,
1969-07-08,,42.35,,
1969-07-09,,42.1,,
1969-07-10,,42.15,,
1969-07-14,,42.25,,
1969-07-16,,41.95,,
