,GOLD,MSCI World,Ann. return (%),Std. dev. (%),Sharpe ratio,Label
0,0.0,1.0,5.346,2.756,1.933,MSCI World
1,0.05,0.95,5.61,2.444,2.287,
2,0.1,0.9,5.863,2.16,2.704,
3,0.15,0.85,6.103,1.917,3.173,
4,0.2,0.8,6.331,1.731,3.647,
5,0.25,0.75,6.546,1.621,4.025,
6,0.3,0.7,6.748,1.605,4.192,MAX SHARPE
7,0.35,0.65,6.938,1.684,4.108,
8,0.4,0.6,7.115,1.846,3.844,
9,0.45,0.55,7.279,2.07,3.506,
10,0.5,0.5,7.43,2.339,3.168,
11,0.55,0.45,7.568,2.639,2.861,
12,0.6,0.4,7.694,2.959,2.594,
13,0.65,0.35,7.805,3.293,2.365,
14,0.7,0.3,7.904,3.636,2.168,
15,0.75,0.25,7.989,3.986,1.999,
16,0.8,0.2,8.061,4.34,1.853,
17,0.85,0.15,8.12,4.698,1.724,
18,0.9,0.1,8.165,5.056,1.611,
19,0.95,0.05,8.197,5.416,1.51,
20,1.0,0.0,8.216,5.775,1.419,GOLD
